lemma_clean,lemma_macron,full_headword_source,pos,semantic_group,rank,definition_source
caveo,caveō,caveō cavēre cāvī cautum,Verb: 2nd Conjugation,Violence,941,"be on guard, beware"
causa,causa,causa -ae f.,Noun: 1st Declension,Speech/Oratory,107,"cause, reason; causā + preceding genitive, for the sake of"
cedo,cēdō,cēdō cēdere cessī cessum,Verb: 3rd Conjugation -ō,War and Peace,304,"go, move; yield"
celebro,celebrō,celebrō -āre,Verb: 1st Conjugation,The City,893,"frequent, throng, crowd"
celer,celer,celer -is -e,Adjective: 3rd Declension,Time,745,swift
celeriter,celeriter,celeriter,Adverb,Time,967,quickly
censeo,cēnseō,cēnseō cēnsēre cēnsuī cēnsum,Verb: 2nd Conjugation,Education/Knowledge,928,"assess, rate; think, decide"
centum,centum,centum,Adjective: Numeral,Measurement,730,one hundred
cerno,cernō,cernō cernere crēvī crētum,Verb: 3rd Conjugation -ō,Education/Knowledge,655,"discern, separate"
certe,certē,certē,Adverb,Measurement,601,"certainly, surely"
certo,certō,certō -āre,Verb: 1st Conjugation,Athletics,864,"decide by contest; fight, compete, vie"
certus,certus,certus -a -um,Adjective: 1st and 2nd Declension,Measurement,285,"sure, fixed"
ceterum,cēterum,cēterum,Adverb,Pronouns/Interrogatives,571,"for the rest, in addition, however that may be"
ceterus,cēterus,cēterus -a -um,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,596,"the other, the others, the rest"
cibus,cibus,cibus -ī m.,Noun: 2nd Declension,Life and Being,863,food
cingo,cingō,cingō cingere cīnxī cīnctum,Verb: 3rd Conjugation -ō,War and Peace,814,"encircle, surround, gird"
cinis,cinis,cinis cineris m./f.,Noun: 3rd Declension,Air and Fire,779,"ashes, embers"
circa,circā,circā,Preposition,Place,735,around (adv. and prep. +acc.)
citus,citus,citus -a -um,Adjective: 1st and 2nd Declension,Time,590,swift; citō swiftly
civis,cīvis,cīvis -is m./f.,Noun: 3rd Declension,The City,471,citizen
civitas,cīvitās,cīvitās -ātis f.,Noun: 3rd Declension,The City,346,"citizenship, state"
clamor,clāmor,clāmor -ōris m.,Noun: 3rd Declension,Speech/Oratory,605,"outcry, shout"
clarus,clārus,clārus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,395,"clear, distinguished"
classis,classis,classis -is f.,Noun: 3rd Declension,War and Peace,505,"class, division, fleet"
claudo,claudō,claudō claudere clausī clausum,Verb: 3rd Conjugation -ō,The House,392,"close, shut"
coepi,coepī,coepī coepisse coeptus,Verb: Irregular,Time,312,begin
cogito,cōgitō,cōgitō -āre,Verb: 1st Conjugation,Education/Knowledge,515,"think, reflect"
cognosco,cōgnōscō,cōgnōscō -gnōscere -gnōvī -gnitum,Verb: 3rd Conjugation -ō,Education/Knowledge,339,"learn, understand"
cogo,cōgō,cōgō cōgere coēgī coāctum,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,250,drive together; compel
cohors,cohors,cohors cohortis f.,Noun: 3rd Declension,War and Peace,666,"cohort, band, troop"
colligo,colligō,colligō -ere -lēgī -lēctum,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,820,"gather together, collect"
colo,colō,colō colere coluī cultum,Verb: 3rd Conjugation -ō,Animals/Plants,333,"inhabit, cultivate"
color,color,color -ōris m.,Noun: 3rd Declension,Vision,725,color
coma,coma,coma -ae f.,Noun: 1st Declension,The Body,405,"hair, tresses"
comes,comes,comes comitis m./f.,Noun: 3rd Declension,Social Life,448,"companion, comrade; attendant, follower"
committo,committō,committō -mittere -mīsī -missum,Verb: 3rd Conjugation -ō,Social Life,608,"join, entrust to (+ dat.); perform, do"
communis,commūnis,commūnis -e,Adjective: 3rd Declension,The City,660,"common, general"
comparo,comparō,comparō -āre,Verb: 1st Conjugation,Business/Money,890,"get ready, provide; compare"
compono,compōnō,compōnō -pōnere posuī positum,Verb: 3rd Conjugation -ō,Making/Doing,443,"build, construct, arrange"
