lemma_clean,lemma_macron,full_headword_source,pos,semantic_group,rank,definition_source
nox,nox,nox noctis f.,Noun: 3rd Declension,Lengths of Time,119,night
nudus,nūdus,nūdus -a -um,Adjective: 1st and 2nd Declension,The Body,545,"naked, bare"
nullus,nūllus,nūllus -a -um,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,49,"not any, no one"
num,num,num,Adverb,Pronouns/Interrogatives,924,interrogative particle implying negative answer
numen,nūmen,nūmen -inis n.,Noun: 3rd Declension,Religion,452,"divine will, deity"
numerus,numerus,numerus -ī m.,Noun: 2nd Declension,Measurement,338,"number, amount"
numquam,numquam,numquam,Adverb,Time,251,never
nunc,nunc,nunc,Adverb,Time,50,now
nuntius,nūntius,nūntius -ī m.,Noun: 2nd Declension,Travel,919,messenger; news
ob,ob,ob,Preposition,Place,449,"against, on account of (+acc)"
occido,occīdō,occīdō -cīdere -cīdī -cīsum,Verb: 3rd Conjugation -ō,Violence,801,"kill, cut down"
occupo,occupō,occupō -āre,Verb: 1st Conjugation,War and Peace,472,"seize, occupy; anticipate, do a thing first (+ infin.)"
occurro,occurrō,occurrō -currere -cucurrī -cursum,Verb: 3rd Conjugation -ō,Education/Knowledge,677,run to meet; come into one’s mind
oculus,oculus,oculus -ī m.,Noun: 2nd Declension,The Body,206,eye
odi,ōdī,ōdī ōdisse,Verb: Irregular,Emotions,790,hate
odium,odium,odium -ī n.,Noun: 2nd Declension,Emotions,522,hatred
offero,offerō,offerō offerre obtulī oblātum,Verb: Irregular,Verbs of Transport,812,"present, offer, expose"
officium,officium,officium -ī n.,Noun: 2nd Declension,The City,607,"service, duty"
olim,ōlim,ōlim,Adverb,Time,574,"formerly, at that time"
omnis,omnis,omnis -e,Adjective: 3rd Declension,Measurement,18,"all, every, as a whole"
onus,onus,onus oneris n.,Noun: 3rd Declension,Measurement,842,"load, burden"
opera,opera,opera -ae f.,Noun: 1st Declension,Business/Money,843,"labor, activity, work"
oportet,oportet,oportet -ēre -uit,Verb: Impersonal,Social Life,806,"it is proper, right (+ acc. + infin.)"
oppidum,oppidum,oppidum -ī n.,Noun: 2nd Declension,The City,635,town
ops,ops,ops opis f.,Noun: 3rd Declension,Business/Money,318,"assistance, resources"
opto,optō,optō -āre,Verb: 1st Conjugation,Personality Traits/Characteristics,417,"choose, select"
opus,opus,opus operis n.,Noun: 3rd Declension,Business/Money,332,work
oratio,ōrātiō,ōrātiō -ōnis f.,Noun: 3rd Declension,Speech/Oratory,736,"speech, address"
orbis,orbis,orbis -is m.,Noun: 3rd Declension,Geography,322,circle; orbis terrārum: world
ordo,ōrdō,ōrdō -īnis m.,Noun: 3rd Declension,War and Peace,416,"order, rank"
orior,orior,orior orīrī ortus sum,Verb: Deponent,Time,642,"arise, begin"
oro,ōrō,ōrō -āre,Verb: 1st Conjugation,Religion,755,pray
os,ōs,ōs ōris n.,Noun: 3rd Declension,The Body,147,"mouth, face"
os,os,os ossis n.,Noun: 3rd Declension,The Body,696,bone
ostendo,ostendō,ostendō ostendere ostendī ostentum,Verb: 3rd Conjugation -ō,Other Senses,371,"show, hold out"
otium,ōtium,ōtium -ī n.,Noun: 2nd Declension,Social Life,715,leisure
paene,paene,paene,Adverb,Conjunctions/Adverbs,944,almost
par,pār,pār paris,Adjective: 3rd Declension,Measurement,281,equal
parco,parcō,parcō parcere pepercī parsum,Verb: 3rd Conjugation -ō,War and Peace,412,"spare, be sparing of (+ dat.)"
parens,parēns,parēns -ntis m./f.,Noun: 3rd Declension,The Household,190,parent
pareo,pāreō,pāreō pārēre pāruī,Verb: 2nd Conjugation,Verbs of Compelling/Directing,847,obey
pario,pariō,pariō parere peperī partum,Verb: 3rd Conjugation -iō,Life and Being,829,"bring forth, give birth to; accomplish"
paro,parō,parō -āre,Verb: 1st Conjugation,Making/Doing,160,"prepare, acquire; parātus -a -um, ready"
pars,pars,pars partis f.,Noun: 3rd Declension,Measurement,65,part
parum,parum,parum,Adverb,Measurement,204,too little
parvus,parvus,parvus -a -um,Adjective: 1st and 2nd Declension,Measurement,143,small
pateo,pateō,pateō patēre patuī,Verb: 2nd Conjugation,Geography,550,"lie open, extend; be evident or obvious"
pater,pater,pater patris m.,Noun: 3rd Declension,The Household,71,"father, ancestor"
patior,patior,patior patī passus sum,Verb: Deponent,Verbs of Compelling/Directing,185,"permit, endure"
patria,patria,patria -ae f.,Noun: 1st Declension,Geography,342,"fatherland, country"
pauci,paucī,paucī -ae -a,Adjective: 1st and 2nd Declension,Measurement,858,"few, a few"
paulo,paulō,"paulō, paulum",Adverb,Measurement,872,"to only a small extent, slightly, a little"
pauper,pauper,pauper -eris,Adjective: 3rd Declension,Business/Money,844,"poor, lowly"
pax,pāx,pāx pācis f.,Noun: 3rd Declension,War and Peace,388,peace
pecco,peccō,peccō -āre,Verb: 1st Conjugation,Justice,792,"commit a wrong, injure"
pectus,pectus,pectus -oris n.,Noun: 3rd Declension,The Body,183,"chest, breast"
pecunia,pecūnia,pecūnia -ae f.,Noun: 1st Declension,Business/Money,530,money
pecus,pecus,pecus -oris n.,Noun: 3rd Declension,Animals/Plants,566,"cattle, sheep"
pello,pellō,pellō pellere pepulī pulsum,Verb: 3rd Conjugation -ō,Violence,563,"strike, beat, push, drive"
pendo,pendō,pendō pendere pependī pēnsum,Verb: 3rd Conjugation -ō,Business/Money,988,"weigh, hang, suspend; pay"
per,per,per,Preposition,Place,30,through (+acc.)
perdo,perdō,perdō -dere -didī -ditum,Verb: 3rd Conjugation -ō,Violence,488,destroy
pereo,pereō,pereō -īre -iī -itum,Verb: Irregular,Violence,268,"perish, be lost"
pergo,pergō,pergō pergere perrēxī perrēctum,Verb: 3rd Conjugation -ō,Motion,821,"continue, proceed; awaken"
periculum,perīculum,perīculum -ī n.,Noun: 2nd Declension,Violence,265,danger
permitto,permittō,permittō -mittere -mīsī -missum,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,702,"yield, allow, permit"
perpetuus,perpetuus,perpetuus -a -um,Adjective: 1st and 2nd Declension,Lengths of Time,891,"unbroken, perpetual"
pertineo,pertineō,pertineō -tinēre -tinuī,Verb: 2nd Conjugation,Education/Knowledge,866,"extend over, reach; refer to, pertain to, be the business of"
pervenio,perveniō,perveniō -venīre -vēnī -ventum,Verb: 4th Conjugation,Travel,409,"arrive, reach"
pes,pēs,pēs pedis m.,Noun: 3rd Declension,The Body,199,foot
peto,petō,petō petere petīvī petītum,Verb: 3rd Conjugation -ō,Motion,83,"seek, aim at"
pietas,pietās,pietās -tātis f.,Noun: 3rd Declension,The Household,767,"sense of duty, devotion, esp. between parents and children"
pius,pius,pius -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,748,"dutiful, devoted, just, pious"
placeo,placeō,placeō placēre placuī placitum,Verb: 2nd Conjugation,Social Life,287,please
plebs,plēbs,plēbs plēbis f.,Noun: 3rd Declension,The City,649,the common people
plenus,plēnus,plēnus -a -um,Adjective: 1st and 2nd Declension,Measurement,459,full
plerumque,plērumque,plērumque,Adverb,Measurement,974,generally
plerus-,plērus-,plērus- plēra- plērumque,Adjective: 1st and 2nd Declension,Measurement,968,"the greater part, very many, most, the majority"
poena,poena,poena -ae f.,Noun: 1st Declension,Justice,223,"penalty, punishment"
poeta,poēta,poēta -ae m.,Noun: 1st Declension,Writing/Poetry,913,poet
pondus,pondus,pondus ponderis n.,Noun: 3rd Declension,Measurement,636,weight
pono,pōnō,pōnō pōnere posuī positum,Verb: 3rd Conjugation -ō,Verbs of Transport,102,"put, place; put aside"
pontus,pontus,pontus -ī m.,Noun: 2nd Declension,Earth and Water,630,"the open sea, the deep"
populus,populus,populus -ī m.,Noun: 2nd Declension,The City,122,people
porta,porta,porta -ae f.,Noun: 1st Declension,The City,759,gate
porto,portō,portō -āre,Verb: 1st Conjugation,Measurement,853,carry a load
posco,pōscō,pōscō pōscere popōscī,Verb: 3rd Conjugation -ō,Speech/Oratory,487,"demand, claim; inquire into"
possum,possum,possum posse potuī,Verb: Irregular,Making/Doing,23,be able
post,post,post,Preposition,Time,164,after (adv. and prep. +acc.)
postea,posteā,posteā,Adverb,Time,964,afterwards
posterus,posterus,posterus -a -um,Adjective: 1st and 2nd Declension,Time,877,"next, later"
postquam,postquam,postquam,Conjunction,Time,384,after
potens,potēns,potēns potentis,Adjective: 3rd Declension,Personality Traits/Characteristics,567,"able, powerful"
potestas,potestās,potestās -ātis f.,Noun: 3rd Declension,The City,737,power
potis,potis,potis -e,Adjective: 3rd Declension,Personality Traits/Characteristics,947,"powerful, able"
praebeo,praebeō,praebeō -ēre -uī -itum,Verb: 2nd Conjugation,Verbs of Transport,584,"furnish, supply, render"
praeceptum,praeceptum,praeceptum -ī n.,Noun: 2nd Declension,Justice,825,"rule, precept; command"
praecipio,praecipiō,praecipiō -cipere -cēpī -ceptum,Verb: 3rd Conjugation -iō,Speech/Oratory,945,"anticipate, advise, warn"
praeda,praeda,praeda -ae f.,Noun: 1st Declension,War and Peace,626,"booty, prey"
praemium,praemium,praemium -ī n.,Noun: 2nd Declension,Business/Money,680,"bounty, reward"
praesens,praesēns,praesēns -ntis,Adjective: 3rd Declension,Place,822,"present, in person, ready"
praesidium,praesidium,praesidium -ī n.,Noun: 2nd Declension,War and Peace,582,"garrison, protection"
praesto,praestō,praestō -stāre -stitī -stitum,Verb: 1st Conjugation,Other Senses,423,"excel, exhibit"
praeter,praeter,praeter,Preposition,Place,756,"by, along, past; besides, except (+ acc.)"
praeterea,praetereā,praetereā,Adverb,Conjunctions/Adverbs,681,"besides, moreover"
praetor,praetor,praetor -ōris m.,Noun: 3rd Declension,The City,878,"praetor, one of the chief Roman magistrates"
precor,precor,precor -ārī,Verb: Deponent,Religion,492,"pray, invoke"
premo,premō,premō premere pressī pressum,Verb: 3rd Conjugation -ō,War and Peace,240,"press, pursue, overwhelm"
pretium,pretium,pretium -ī n.,Noun: 2nd Declension,Business/Money,629,"price, worth, reward; pretium operae: a reward for trouble"
prex,prex,prex precis f.,Noun: 3rd Declension,Religion,520,"prayers, entreaties"
primum,prīmum,prīmum,Adverb,Time,252,"at first, firstly"
primus,prīmus,prīmus -a -um,Adjective: 1st and 2nd Declension,Time,91,first
princeps,prīnceps,prīnceps -cipis,Adjective: 3rd Declension,The City,317,"first, chief; (as subst.) leader, person in charge"
principium,prīncipium,prīncipium -ī n.,Noun: 2nd Declension,Time,948,beginning
prior,prior,prior prius,Adjective: 3rd Declension,Time,526,"earlier, preceding"
privatus,prīvātus,prīvātus -a -um,Adjective: 1st and 2nd Declension,Social Life,882,"personal, private"
prius,prius,prius or priusquam,Adverb,Time,484,before
pro,prō,prō,Preposition,Non-Directional Prepositions,128,"for, on behalf of, in proportion to (+abl.)"
probo,probō,probō -āre,Verb: 1st Conjugation,Verbs of Compelling/Directing,784,"approve, prove; convince one (dat.) of a thing (acc.)"
procedo,prōcēdō,prōcēdō -cēdere -cessī -cessum,Verb: 3rd Conjugation -ō,Motion,746,"go forth, advance"
procul,procul,procul,Adverb,Place,397,at a distance
prodo,prōdō,prōdō prōdere prōdidī prōditum,Verb: 3rd Conjugation -ō,Verbs of Transport,929,"publish, hand down; give over, betray"
proelium,proelium,proelium -ī n.,Noun: 2nd Declension,War and Peace,348,battle
proficiscor,proficīscor,proficīscor -ficīscī -fectus sum,Verb: Deponent,Travel,835,"set forth, go"
prohibeo,prohibeō,prohibeō -ēre -uī -itum,Verb: 2nd Conjugation,Verbs of Compelling/Directing,604,"restrain, keep away"
promitto,prōmittō,prōmittō -mittere -mīsī -missum,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,720,"send forth, offer"
prope,prope,prope,Preposition,Place,189,"near, next; (comp.) propior, (superl.) proximus; (adv.) prope, nearly, almost"
propero,properō,properō -āre,Verb: 1st Conjugation,Motion,537,"hasten, speed"
propono,prōpōnō,prōpōnō -pōnere -posuī -positum,Verb: 3rd Conjugation -ō,Speech/Oratory,930,"put forth, propose, present"
proprius,proprius,proprius -a -um,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,854,"one’s own, peculiar"
propter,propter,propter,Preposition,Non-Directional Prepositions,560,because of (+ acc.)
prosum,prōsum,prōsum prodesse profuī,Verb: Irregular,Social Life,373,"be of use, do good, help (+ dat.)"
protinus,prōtinus,prōtinus,Adverb,Time,903,"at once, forthwith"
provincia,prōvincia,prōvincia -ae f.,Noun: 1st Declension,The City,620,province; official duty
publicus,pūblicus,pūblicus -a -um,Adjective: 1st and 2nd Declension,The City,517,"public, belonging to the state"
pudor,pudor,pudor pudōris m.,Noun: 3rd Declension,Personality Traits/Characteristics,616,"sense of shame, modesty, propriety"
puella,puella,puella -ae f.,Noun: 1st Declension,People,233,girl; girl-friend
puer,puer,puer puerī m.,Noun: 2nd Declension,People,191,boy; slave
pugna,pūgna,pūgna -ae f.,Noun: 1st Declension,Violence,650,fist-fight; battle
pugno,pugnō,pugnō -āre,Verb: 1st Conjugation,Violence,708,fight
pulcher,pulcher,pulcher -chra -chrum,Adjective: 1st and 2nd Declension,Vision,569,beautiful
puto,putō,putō -āre,Verb: 1st Conjugation,Education/Knowledge,166,"think, suppose"
qua,quā,quā,Pronoun,Pronouns/Interrogatives,336,"where, how"
quaero,quaerō,quaerō -rere -sīvī -sītum,Verb: 3rd Conjugation -ō,Education/Knowledge,113,"seek, inquire"
qualis,quālis,quālis -e,Pronoun,Pronouns/Interrogatives,263,of what kind? what?
quam,quam,quam,Adverb,Pronouns/Interrogatives,29,how?; (after comparative) than
quamquam,quamquam,quamquam,Conjunction,Conjunctions/Adverbs,644,"however, although"
quamvis,quamvīs,quamvīs,Adverb,Conjunctions/Adverbs,489,however you like; although
quando,quandō,quandō,Adverb,Pronouns/Interrogatives,621,when?; since; sī quandō: if ever
quantum,quantum,quantum,Adverb,Pronouns/Interrogatives,557,(adv.) how much? how greatly? how much! how greatly! as much as
quantus,quantus,quantus -a -um,Pronoun,Pronouns/Interrogatives,311,"(interr.) how great? (rel.) of what size, amount, etc. (as subst.) what amount? (rel.) which amount; quantī, at what price? (rel.) at which price"
quare,quārē,quārē,Adverb,Pronouns/Interrogatives,786,how? why?
quasi,quasi,quasi,Adverb,Conjunctions/Adverbs,938,as if
quattuor,quattuor,quattuor,Adjective: Numeral,Measurement,867,four
que,que,que,Conjunction,Conjunctions/Adverbs,4,and (postpositive enclitic)
quemadmodum,quemadmodum,quemadmodum,Adverb,Pronouns/Interrogatives,531,"in what manner, how"
queror,queror,queror querī questus sum,Verb: Deponent,Emotions,518,"complain of, lament"
qui,quī,quī quae quod,Pronoun,Pronouns/Interrogatives,3,"who, which, what"
quia,quia,quia,Conjunction,Conjunctions/Adverbs,132,because
quicumque,quīcumque,quīcumque quaecumque quodcumque,Pronoun,Pronouns/Interrogatives,284,"who-, whatever"
quidam,quīdam,quīdam quaedam quoddam,Pronoun,Pronouns/Interrogatives,126,"a certain one, someone"
quidem,quidem,quidem,Adverb,Conjunctions/Adverbs,136,"certainly, at least"
quiesco,quiēscō,quiēscō quiēscere quiēvī quiētum,Verb: 3rd Conjugation -ō,Life and Being,969,keep quiet; sleep
quin,quīn,quīn,Adverb,Conjunctions/Adverbs,456,"(adv.) indeed, in fact; (conjunction) so that ... not (+ subj.)"
quippe,quīppe,quīppe,Adverb,Conjunctions/Adverbs,499,"(adv.) indeed, surely"
quis,quis,quis quid,Pronoun,Pronouns/Interrogatives,212,who? what? which?
quisquam,quisquam,quisquam quicquam/quidquam,Pronoun,Pronouns/Interrogatives,12,"any (single) person, anyone at all"
quisque,quisque,quisque quaeque quidque,Pronoun,Pronouns/Interrogatives,197,"each one, everyone"
quisquis,quisquis,quisquis quidquid,Pronoun,Pronouns/Interrogatives,129,"whoever, whichever"
quo,quō,quō,Adverb,Pronouns/Interrogatives,305,"for which reason; to or in what place; to what end, for what purpose?"
quomodo,quōmodo,quōmodo,Conjunction,Pronouns/Interrogatives,831,"in what way, how?"
quondam,quondam,quondam,Adverb,Time,542,"formerly, once"
quoniam,quoniam,quoniam,Conjunction,Conjunctions/Adverbs,510,"since, seeing that"
quoque,quoque,quoque,Conjunction,Conjunctions/Adverbs,76,"also, too"
quotiens,quotiēns,quotiēns,Adverb,Pronouns/Interrogatives,970,"interr. how many times? how often? rel. as often as, whenever"
rapio,rapiō,rapiō rapere rapuī raptum,Verb: 3rd Conjugation -iō,Violence,273,"seize, tear away"
rarus,rārus,rārus -a -um,Adjective: 1st and 2nd Declension,Measurement,752,"wide apart, loose, thin; rare, seldom"
ratio,ratiō,ratiō -ōnis f.,Noun: 3rd Declension,Education/Knowledge,256,"method, plan, reason"
recedo,recēdō,recēdō -cēdere -cessī -cessum,Verb: 3rd Conjugation -ō,Motion,826,"step back, recoil, recede, withdraw"
recens,recēns,recēns -ntis,Adjective: 3rd Declension,Time,781,"fresh, new"
recipio,recipiō,recipiō -cipere -cēpī -ceptum,Verb: 3rd Conjugation -iō,Verbs of Transport,319,"take back, receive; sē recipere, betake oneself, go"
rectus,rēctus,rēctus -a -um,Adjective: 1st and 2nd Declension,Measurement,823,"straight, direct"
reddo,reddō,reddō -dere -didī -ditum,Verb: 3rd Conjugation -ō,Verbs of Transport,174,"return, give back"
redeo,redeō,redeō -īre -iī -itum,Verb: Irregular,Motion,301,"go back, return"
refero,referō,referō referre rettulī relātum,Verb: Irregular,Verbs of Transport,171,bring back; report
regio,regiō,regiō -ōnis f.,Noun: 3rd Declension,Geography,585,"boundary, region"
regius,rēgius,rēgius -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,561,"kingly, royal"
regnum,rēgnum,rēgnum -ī n.,Noun: 2nd Declension,Geography,121,"kingship, kingdom"
rego,regō,regō regere rēxī rēctum,Verb: 3rd Conjugation -ō,The City,554,"guide, rule"
relinquo,relinquō,relinquō -linquere -līquī -lictum,Verb: 3rd Conjugation -ō,Motion,144,abandon
reliquus,reliquus,reliquus -a -um,Adjective: 1st and 2nd Declension,Measurement,788,"remaining, rest"
reor,reor,reor rērī rātus sum,Verb: Deponent,Education/Knowledge,774,"think, imagine, suppose, deem"
reperio,reperiō,reperiō -perīre -pperī -pertum,Verb: 4th Conjugation,Education/Knowledge,765,"find, find out"
repeto,repetō,repetō -petere -petīvī -petītum,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,651,"demand, exact; revisit; call to mind, recollect; repeat"
res,rēs,rēs reī f.,Noun: 5th Declension,Life and Being,38,"thing (rēs pūblica, commonwealth; rēs familiāris, family property, estate; rēs mīlitāris, art of war; rēs novae, revolution)"
respicio,respicio,respicio -ere -spēxī -spectum,Verb: 3rd Conjugation -iō,Vision,722,"look back, regard, consider"
respondeo,respondeō,respondeō -spondēre -spondī -spōnsum,Verb: 2nd Conjugation,Speech/Oratory,535,answer
retineo,retineō,retineō -tinēre -tinuī -tentum,Verb: 2nd Conjugation,Verbs of Compelling/Directing,647,"hold back, keep"
reverto,revertō,revertō -vertere -vertī,Verb: 3rd Conjugation -ō,Motion,995,turn back
revoco,revocō,revocō -āre,Verb: 1st Conjugation,Social Life,813,"call back, recall"
reus,reus,reus -ī m.,Noun: 2nd Declension,Justice,888,defendant
rex,rēx,rēx rēgis m.,Noun: 3rd Declension,The City,60,king
rideo,rīdeō,rīdeō -ēre rīsī rīsum,Verb: 3rd Conjugation -ō,Emotions,874,"laugh, laugh at"
ripa,rīpa,rīpa -ae f.,Noun: 1st Declension,Earth and Water,662,bank of a river
rogo,rogō,rogō -āre,Verb: 1st Conjugation,Speech/Oratory,551,ask
rumpo,rumpō,rumpō rumpere rūpī ruptum,Verb: 3rd Conjugation -ō,Violence,480,"break, rupture"
rursus,rūrsus,rūrsus,Adverb,Place,440,"back, again"
rus,rūs,rūs rūris n.,Noun: 3rd Declension,Geography,879,country
sacer,sacer,sacer sacra sacrum,Adjective: 1st and 2nd Declension,Religion,398,"holy, sacred"
sacerdos,sacerdōs,sacerdōs -dōtis m./f.,Noun: 3rd Declension,Religion,939,"priest, priestess"
saeculum,saeculum,saeculum -ī n.,Noun: 2nd Declension,Lengths of Time,776,"generation, age, century"
saepe,saepe,saepe,Adverb,Time,145,often
saevus,saevus,saevus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,244,"fierce, raging, wrathful"
salus,salūs,salūs -ūtis f.,Noun: 3rd Declension,Life and Being,549,"health, safety"
sanctus,sānctus,sānctus -a -um,Adjective: 1st and 2nd Declension,Religion,659,"sacred, inviolable"
sanguis,sanguis,sanguis -inis m.,Noun: 3rd Declension,The Body,214,blood
sanus,sānus,sānus -a -um,Adjective: 1st and 2nd Declension,Life and Being,946,"sound, sane"
sapiens,sapiēns,sapiēns -ntis,Adjective: 3rd Declension,Education/Knowledge,453,"wise; (as subst.) wise man, sage, philosopher"
sapientia,sapientia,sapientia -ae f.,Noun: 1st Declension,Education/Knowledge,797,wisdom
satis,satis,"satis, sat",Adverb,Measurement,341,"enough, sufficient, sufficiently"
saxum,saxum,saxum -ī n.,Noun: 2nd Declension,Earth and Water,306,"rock, cliff, crag"
scelus,scelus,scelus -eris n.,Noun: 3rd Declension,Justice,154,"crime, sin"
scientia,scientia,scientia -ae f.,Noun: 1st Declension,Education/Knowledge,971,knowledge
scilicet,scīlicet,scīlicet,Adverb,Conjunctions/Adverbs,889,"certainly, of course"
scio,sciō,sciō -īre -īvī/-iī -ītum,Verb: 4th Conjugation,Education/Knowledge,172,know
scribo,scrībō,scrībō scrībere scrīpsī scrīptum,Verb: 3rd Conjugation -ō,Writing/Poetry,568,write
secundus,secundus,secundus -a -um,Adjective: 1st and 2nd Declension,Measurement,836,following; favorable; (as numeral) second
securus,sēcūrus,sēcūrus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,697,"free from care, tranquil; careless"
sed,sed,sed,Conjunction,Conjunctions/Adverbs,20,but
sedeo,sedeō,sedeō sedēre sēdī sessum,Verb: 2nd Conjugation,The House,506,sit
sedes,sēdēs,sēdēs -is f.,Noun: 3rd Declension,The House,403,"seat, abode, habitation"
semel,semel,semel,Adverb,Time,789,once
semper,semper,semper,Adverb,Time,149,"always, ever"
senatus,senātus,senātus -ūs m.,Noun: 4th Declension,The City,329,senate
senex,senex,senex -is m.,Noun: 3rd Declension,People,558,"old man, elder; senior, older"
sensus,sēnsus,sēnsus -ūs m.,Noun: 4th Declension,Emotions,793,"feeling, emotion, sense"
sententia,sententia,sententia -ae f.,Noun: 1st Declension,Education/Knowledge,586,"opinion, judgment"
sentio,sentiō,sentiō sentīre sēnsī sēnsum,Verb: 4th Conjugation,Other Senses,302,"perceive, feel, hear, see"
sepulcrum,sepulcrum,sepulcrum -ī n.,Noun: 2nd Declension,Life and Being,949,"place of burial, tomb, grave"
sequor,sequor,sequor sequī secūtus sum,Verb: Deponent,Motion,108,follow
sermo,sermō,sermō -ōnis m.,Noun: 3rd Declension,Speech/Oratory,575,"conversation, discourse"
servio,serviō,serviō -īre,Verb: 4th Conjugation,The Household,883,"be a slave, serve (+ dat.)"
servo,servō,servō -āre,Verb: 1st Conjugation,The Household,289,"save, watch over"
servus,servus,servus -ī m.,Noun: 2nd Declension,The Household,496,slave
seu,seu,seu,Conjunction,Conjunctions/Adverbs,343,whether; seu ... seu: whether ... or → sīve
si,sī,sī,Conjunction,Conjunctions/Adverbs,16,if
sic,sīc,sīc,Adverb,Conjunctions/Adverbs,79,"in this manner, thus; sīc ... ut: in the same way as"
sicut,sīcut,sīcut,Adverb,Conjunctions/Adverbs,791,just as
sidus,sīdus,sīdus -eris n.,Noun: 3rd Declension,Air and Fire,359,"star, constellation"
signum,sīgnum,sīgnum -ī n.,Noun: 2nd Declension,War and Peace,261,"sign, standard, mark"
silva,silva,silva -ae f.,Noun: 1st Declension,Animals/Plants,234,"forest, grove"
similis,similis,similis -e,Adjective: 3rd Declension,Personality Traits/Characteristics,414,"like, similar"
simul,simul,simul,Adverb,Time,274,at the same time
sine,sine,sine,Preposition,Non-Directional Prepositions,104,without (+ abl.)
singuli,singulī,singulī -ae -a,Adjective: 1st and 2nd Declension,Measurement,507,one each
sino,sinō,sinō sinere sīvī situm,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,717,"allow, let go"
sinus,sinus,sinus -ūs m.,Noun: 4th Declension,Earth and Water,478,"fold of a garment; lap, bay, gulf"
sive,sīve,sīve,Conjunction,Conjunctions/Adverbs,362,whether; sīve ... sīve: whether ... or → seu
socius,socius,socius -a -um,Adjective: 1st and 2nd Declension,Social Life,372,"friendly, allied; socius -ī m.: partner, comrade"
sol,sōl,sōl sōlis m.,Noun: 3rd Declension,Air and Fire,320,sun
soleo,soleō,soleō -ēre -uī -itum,Verb: 2nd Conjugation,Personality Traits/Characteristics,246,be accustomed
solum,sōlum,sōlum,Adverb,Measurement,897,"only, merely"
solvo,solvō,solvō solvere solvī solūtum,Verb: 2nd Conjugation,Travel,325,"release, set sail"
solus,sōlus,sōlus -a -um,Adjective: 1st and 2nd Declension,Measurement,176,"only, alone"
somnus,somnus,somnus -ī m.,Noun: 2nd Declension,Life and Being,438,"sleep, slumber; (pl.) dreams"
sono,sonō,sonō sonāre sonuī sonitum,Verb: 1st Conjugation,Other Senses,583,"sound, resound"
soror,soror,soror -ōris f.,Noun: 3rd Declension,The Household,497,sister
sors,sors,sors sortis f.,Noun: 3rd Declension,Religion,639,"lot, fate, destiny; oracle"
spargo,spargō,spargō spargere sparsī sparsum,Verb: 3rd Conjugation -ō,Earth and Water,532,scatter
spatium,spatium,spatium -ī n.,Noun: 2nd Declension,Air and Fire,426,space
species,speciēs,speciēs -ēī f.,Noun: 5th Declension,Vision,599,"aspect, appearance"
specto,spectō,spectō -āre,Verb: 1st Conjugation,Vision,473,"look at, consider"
spero,spērō,spērō -āre,Verb: 1st Conjugation,Emotions,648,to hope
spes,spēs,spēs speī f.,Noun: 5th Declension,Emotions,232,hope
spiritus,spīritus,spīritus -ūs m.,Noun: 4th Declension,Life and Being,703,"breath, life, spirit"
statim,statim,statim,Adverb,Time,798,immediately
statuo,statuō,statuō -ere -uī -ūtum,Verb: 3rd Conjugation -ō,Justice,678,"set up, determine"
stella,stella,stella -ae f.,Noun: 1st Declension,Air and Fire,934,star
sto,stō,stō stāre stetī statum,Verb: 1st Conjugation,Life and Being,168,stand
studeo,studeō,studeō -ēre -uī,Verb: 2nd Conjugation,Emotions,989,"be eager, be zealous, care for (+ dat.)"
studium,studium,studium -ī n.,Noun: 2nd Declension,Emotions,450,"eagerness, zeal"
sub,sub,sub,Preposition,Place,118,"under, close to (+acc. or abl.)"
subeo,subeō,subeō -īre -iī -itum,Verb: Irregular,Motion,538,go under; endure
subito,subitō,subitō,Adverb,Time,848,"suddenly, unexpectedly"
sui,sui,sui sibi sē/sēsē,Pronoun,Pronouns/Interrogatives,17,"him- her- itself, themselves"
sum,sum,sum esse fuī futūrum,Verb: Irregular,Life and Being,2,"be, exist; fut. infin. often = fore, impf. subj. often = forem for essem"
sumo,sūmō,sūmō sūmere sūmpsī sūmptum,Verb: 3rd Conjugation -ō,Motion,454,take up
super,super,super,Adverb,Place,401,over (adv. and prep. +acc.)
superbus,superbus,superbus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,656,"overbearing, proud, haughty"
superi,superī,superī -ōrum m. pl.,Noun: 2nd Declension,Religion,714,"those above, i.e. the gods"
supero,superō,superō -āre,Verb: 1st Conjugation,War and Peace,668,"overcome, surpass, defeat"
supersum,supersum,supersum -esse -fuī,Verb: Irregular,Place,623,"remain, survive; be superfluous (to)"
superus,superus,superus -a -um,Adjective: 1st and 2nd Declension,Religion,99,"situated above, upper"
supplicium,supplicium,supplicium -ī n.,Noun: 2nd Declension,Justice,683,"punishment, penalty"
